"status","spc_latin","spc_common","boroname","latitude","longitude"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85172086","-73.90385431"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84599761","-73.91937184"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.8469879","-73.91784074"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85405184","-73.89715266"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.85268491","-73.90062312"
"Alive","Acer saccharinum","silver maple","Bronx","40.83634388","-73.86823414"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.8583149","-73.88850408"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85808439","-73.8887043"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.83674575","-73.87131699"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85792957","-73.88543779"
"Alive","Acer platanoides","Norway maple","Bronx","40.85774679","-73.89141561"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84590515","-73.91926569"
"Alive","Quercus rubra","northern red oak","Bronx","40.85349719","-73.89160002"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84658242","-73.91688901"
"Alive","Syringa reticulata","Japanese tree lilac","Bronx","40.81329608","-73.82738544"
"Alive","Syringa reticulata","Japanese tree lilac","Bronx","40.81313663","-73.82729105"
"Alive","Syringa reticulata","Japanese tree lilac","Bronx","40.85612746","-73.88880884"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.83721398","-73.87007594"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85354496","-73.88389408"
"Alive","Acer rubrum","red maple","Bronx","40.85105279","-73.90423145"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.84666147","-73.91558658"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.84660007","-73.91585817"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.84700784","-73.91770114"
"Alive","Quercus palustris","pin oak","Bronx","40.84728246","-73.88916606"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.8538891","-73.89254231"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84280096","-73.90034686"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85089002","-73.88808996"
"Alive","Tilia americana","American linden","Bronx","40.85759825","-73.88929546"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84548951","-73.91933939"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84621817","-73.92093115"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84616771","-73.92118588"
"Alive","Quercus palustris","pin oak","Bronx","40.85415041","-73.89356281"
"Alive","Quercus phellos","willow oak","Bronx","40.85260594","-73.89803996"
"Alive","Quercus palustris","pin oak","Bronx","40.85359984","-73.89744197"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84563585","-73.91931344"
"Alive","Quercus palustris","pin oak","Bronx","40.8533199","-73.89762116"
"Alive","Quercus palustris","pin oak","Bronx","40.85343197","-73.89754942"
"Alive","Ulmus pumila","Siberian elm","Bronx","40.8826445","-73.8838041"
"Alive","Ulmus pumila","Siberian elm","Bronx","40.82393298","-73.89717699"
"Alive","Quercus phellos","willow oak","Bronx","40.85248078","-73.89812006"
"Alive","Quercus palustris","pin oak","Bronx","40.85365489","-73.89740674"
"Alive","Quercus palustris","pin oak","Bronx","40.85421884","-73.89376405"
"Alive","Platanus x acerifolia","London planetree","Bronx","40.84822621","-73.88719178"
"Alive","Syringa reticulata","Japanese tree lilac","Bronx","40.84754294","-73.88746535"
"Alive","Acer campestre","hedge maple","Bronx","40.89142225","-73.83708924"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.84671918","-73.91533127"
"Alive","Ulmus parvifolia","Chinese elm","Bronx","40.85893023","-73.89372446"
"Alive","Ulmus parvifolia","Chinese elm","Bronx","40.85200589","-73.88348261"
"Alive","Koelreuteria paniculata","golden raintree","Bronx","40.83977841","-73.8682386"
"Alive","Liquidambar styraciflua","sweetgum","Bronx","40.8521386","-73.9010427"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85797196","-73.88776647"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85838984","-73.88809164"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.84695805","-73.9180496"
"Alive","Quercus palustris","pin oak","Bronx","40.84766506","-73.88572165"
"Alive","Ulmus pumila","Siberian elm","Bronx","40.86178985","-73.90837221"
"Alive","Ulmus pumila","Siberian elm","Bronx","40.81089699","-73.91911249"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84621979","-73.9208"
"Alive","Tilia tomentosa","silver linden","Bronx","40.84802389","-73.90696931"
"Alive","Prunus","cherry","Bronx","40.85308202","-73.89880348"
"Alive","Prunus","cherry","Bronx","40.85347917","-73.89362245"
"Alive","Acer rubrum","red maple","Bronx","40.81353167","-73.84905339"
"Alive","Gymnocladus dioicus","Kentucky coffeetree","Bronx","40.85640621","-73.88246141"
"Alive","Gymnocladus dioicus","Kentucky coffeetree","Bronx","40.85664246","-73.88234194"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85860963","-73.89089148"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85889986","-73.89269277"
"Alive","Liquidambar styraciflua","sweetgum","Bronx","40.85153712","-73.90119958"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85763511","-73.88806029"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85675138","-73.88735329"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.8548131","-73.88809628"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.8568336","-73.89170101"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85840792","-73.88842328"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.84404878","-73.88313857"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.84422613","-73.88298721"
"Alive","Koelreuteria paniculata","golden raintree","Bronx","40.85487854","-73.89265031"
"Alive","Koelreuteria paniculata","golden raintree","Bronx","40.85113956","-73.89508648"
"Alive","Quercus bicolor","swamp white oak","Bronx","40.85658958","-73.89017491"
"Alive","Thuja occidentalis","arborvitae","Bronx","40.83926536","-73.86821912"
"Alive","Cercis reniformis","Oklahoma redbud","Bronx","40.84846934","-73.8973378"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.89308067","-73.83603069"
"Alive","Prunus","cherry","Bronx","40.83064272","-73.92443894"
"Alive","Prunus","cherry","Bronx","40.85406715","-73.89359714"
"Alive","Prunus","cherry","Bronx","40.86154543","-73.89314414"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.85807212","-73.90170291"
"Alive","Quercus palustris","pin oak","Bronx","40.83599773","-73.86691494"
"Alive","Quercus palustris","pin oak","Bronx","40.84343709","-73.83410995"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85747874","-73.88582439"
"Alive","Liquidambar styraciflua","sweetgum","Bronx","40.85120595","-73.90128596"
"Alive","Quercus alba","white oak","Bronx","40.85477118","-73.89069158"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.86205989","-73.89539379"
"Alive","Acer platanoides 'Crimson King'","crimson king maple","Bronx","40.83678898","-73.86426248"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.8498141","-73.89140678"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.87017959","-73.88185986"
"Alive","Tilia tomentosa","silver linden","Bronx","40.85453144","-73.88639002"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.81167743","-73.85454089"
"Alive","Quercus palustris","pin oak","Bronx","40.85337519","-73.89758576"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.84656092","-73.91603138"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.84039082","-73.86514405"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.84026218","-73.86507707"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.8597575","-73.90083427"
"Alive","Juniperus virginiana","eastern redcedar","Bronx","40.84630556","-73.82437255"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.87173346","-73.88229378"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.87183274","-73.88232193"
"Alive","Acer saccharinum","silver maple","Bronx","40.85759355","-73.88476724"
"Alive","Acer saccharinum","silver maple","Bronx","40.88729428","-73.90855747"
"Alive","Carpinus caroliniana","American hornbeam","Bronx","40.8159534","-73.88732049"
"Alive","Carpinus caroliniana","American hornbeam","Bronx","40.87844504","-73.91124538"
"Alive","Populus deltoides","eastern cottonwood","Bronx","40.85623953","-73.89584215"
"Alive","Carpinus caroliniana","American hornbeam","Bronx","40.83758768","-73.86682229"
"Alive","Quercus palustris","pin oak","Bronx","40.84344231","-73.83343882"
"Alive","Acer rubrum","red maple","Bronx","40.81372722","-73.84947316"
